年,部門名,部門別名目国内生産額（十億円）,部門別実質国内生産額（十億円）,部門別名目GDP（十億円）,部門別実質GDP（十億円）,部門別雇用者数（千人）
2010年,９．研究,12084,11889,7121,6957,714
2011年,１．通信業,17669,17669,9192,9192,236
2011年,２．放送業,3561,3561,1417,1417,66
2011年,３．情報サービス業,16845,16845,9971,9971,1080
2011年,４．インターネット附随サービス業,1904,1904,500,500,72
2011年,５．映像・音声・文字情報制作業,6182,6182,2319,2319,260
2011年,６．情報通信関連製造業,22741,22741,5890,5890,793
2011年,７．情報通信関連サービス業,14143,14143,5767,5767,698
2011年,８．情報通信関連建設業,224,224,119,119,27
2011年,９．研究,12126,12126,7214,7214,717
2012年,１．通信業,16418,16400,8592,8547,246
2012年,２．放送業,3481,3442,1380,1343,67
2012年,３．情報サービス業,16820,16825,10006,9991,1092
2012年,４．インターネット附随サービス業,1935,1883,493,480,75
2012年,５．映像・音声・文字情報制作業,6304,6429,2382,2460,267
2012年,６．情報通信関連製造業,18198,19195,4633,5231,715
2012年,７．情報通信関連サービス業,14390,14674,5789,6059,693
2012年,８．情報通信関連建設業,229,233,122,126,28
2012年,９．研究,12134,12170,7213,7284,721
2013年,１．通信業,16278,16226,8514,8418,276
2013年,２．放送業,3953,3889,1530,1449,70
2013年,３．情報サービス業,17125,17220,10239,10259,1177
2013年,４．インターネット附随サービス業,2262,2215,559,548,87
2013年,５．映像・音声・文字情報制作業,6161,6390,2339,2488,265
2013年,６．情報通信関連製造業,17345,18709,4307,5306,699
2013年,７．情報通信関連サービス業,14294,14870,5741,6232,696
2013年,８．情報通信関連建設業,254,255,137,140,28
2013年,９．研究,12540,12578,7447,7571,723
2014年,１．通信業,16110,15556,8465,8074,300
2014年,２．放送業,4068,3952,1566,1446,67
2014年,３．情報サービス業,17528,17203,10532,10283,1178
2014年,４．インターネット附随サービス業,2608,2605,624,625,84
2014年,５．映像・音声・文字情報制作業,6168,6319,2353,2507,258
2014年,６．情報通信関連製造業,18584,20191,4500,5941,672
2014年,７．情報通信関連サービス業,14828,15055,5842,6320,676
2014年,８．情報通信関連建設業,195,191,106,107,27
2014年,９．研究,13790,13790,8182,8349,714
2015年,１．通信業,16667,17906,8388,9567,295
2015年,２．放送業,3991,3820,1605,1455,63
2015年,３．情報サービス業,17758,17435,10676,10463,1183
2015年,４．インターネット附随サービス業,3232,3211,846,828,86
2015年,５．映像・音声・文字情報制作業,5867,5828,2280,2265,244
2015年,６．情報通信関連製造業,19525,21476,4769,6258,647
2015年,７．情報通信関連サービス業,15033,14718,6177,6183,670
2015年,８．情報通信関連建設業,151,150,81,84,27
2015年,９．研究,14153,13621,8570,8161,736
2016年,１．通信業,17869,19605,8726,10303,312
2016年,２．放送業,4094,3860,1653,1427,63
2016年,３．情報サービス業,18041,17591,10801,10492,1200
2016年,４．インターネット附随サービス業,3494,3349,961,833,90
2016年,５．映像・音声・文字情報制作業,5878,5905,2294,2364,249
2016年,６．情報通信関連製造業,17833,20157,4546,5911,653
2016年,７．情報通信関連サービス業,15026,14669,6199,6200,671
2016年,８．情報通信関連建設業,167,164,93,92,27
2016年,９．研究,13335,12854,8243,7798,721
2017年,１．通信業,18340,20299,9050,10872,321
2017年,２．放送業,4085,3863,1641,1434,60
2017年,３．情報サービス業,18638,18050,11184,10789,1186
2017年,４．インターネット附随サービス業,3605,3558,967,934,94
2017年,５．映像・音声・文字情報制作業,5843,5864,2290,2356,247
2017年,６．情報通信関連製造業,18964,21175,4390,5960,661
2017年,７．情報通信関連サービス業,14712,14345,6044,6037,661
2017年,８．情報通信関連建設業,151,145,84,81,27
2017年,９．研究,13409,12861,8268,7829,722
2018年,１．通信業,18780,20743,9200,11075,335
2018年,２．放送業,4112,3931,1648,1495,63
2018年,３．情報サービス業,18990,18241,11364,10867,1179
2018年,４．インターネット附随サービス業,3725,3872,937,1088,100
2018年,５．映像・音声・文字情報制作業,5574,5563,2190,2263,240
2018年,６．情報通信関連製造業,19215,21388,4212,5983,669
2018年,７．情報通信関連サービス業,14738,14349,6127,6117,691
2018年,８．情報通信関連建設業,145,136,79,73,27
2018年,９．研究,13818,13136,8487,8018,741
