大分類,分野,年,国・地域,シェア(%)
O.サービス/アプリケーション,移動体通信サービス,2019年,韓国,2.6
O.サービス/アプリケーション,移動体通信サービス,2018年,韓国,2.7
O.サービス/アプリケーション,移動体通信サービス,2017年,韓国,2.8
O.サービス/アプリケーション,動画配信,2019年,韓国,
O.サービス/アプリケーション,動画配信,2018年,韓国,
O.サービス/アプリケーション,動画配信,2017年,韓国,
A.クラウド/データセンター,クラウト?インフラ(IaaS),2019年,韓国,
A.クラウド/データセンター,クラウト?インフラ(IaaS),2018年,韓国,
A.クラウド/データセンター,クラウト?インフラ(IaaS),2017年,韓国,
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2019年,韓国,
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2018年,韓国,
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2017年,韓国,
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2019年,韓国,
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2018年,韓国,
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2017年,韓国,
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2019年,韓国,
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2018年,韓国,
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2017年,韓国,
A.クラウド/データセンター,テ?ータセンター,2019年,韓国,
A.クラウド/データセンター,テ?ータセンター,2018年,韓国,
A.クラウド/データセンター,テ?ータセンター,2017年,韓国,
O.サービス/アプリケーション,固定通信サービス,2019年,中国,6.5
O.サービス/アプリケーション,固定通信サービス,2018年,中国,14.5
O.サービス/アプリケーション,固定通信サービス,2017年,中国,12.9
O.サービス/アプリケーション,移動体通信サービス,2019年,中国,13.9
O.サービス/アプリケーション,移動体通信サービス,2018年,中国,15
O.サービス/アプリケーション,移動体通信サービス,2017年,中国,15.1
O.サービス/アプリケーション,動画配信,2019年,中国,19.3
O.サービス/アプリケーション,動画配信,2018年,中国,22.1
O.サービス/アプリケーション,動画配信,2017年,中国,11.7
A.クラウド/データセンター,クラウト?インフラ(IaaS),2019年,中国,21.1
A.クラウド/データセンター,クラウト?インフラ(IaaS),2018年,中国,19.8
A.クラウド/データセンター,クラウト?インフラ(IaaS),2017年,中国,8.5
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2019年,中国,4.7
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2018年,中国,6.8
A.クラウド/データセンター,クラウト?フ?ラットフォーム(PaaS),2017年,中国,6.2
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2019年,中国,
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2018年,中国,
A.クラウド/データセンター,クラウト?サーヒ?ス(SaaS),2017年,中国,
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2019年,中国,
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2018年,中国,
A.クラウド/データセンター,クラウト?サーヒ?ス(CaaS),2017年,中国,
A.クラウド/データセンター,テ?ータセンター,2019年,中国,13.4
A.クラウド/データセンター,テ?ータセンター,2018年,中国,12.7
